Flight,Plane,Time,Age,Fitness,TechSavvy,Experience,Impatience,TimePressure,Luggage,KioskAffinity,Speed
TK696,B739,2025-11-24T02:40:00+00:00,74,0.03,0.46,8,0.29,0.12,0.71,0.00,0.93
TK696,B739,2025-11-24T02:40:00+00:00,25,0.70,1.00,1,0.30,0.44,0.40,0.53,1.57
TK696,B739,2025-11-24T02:40:00+00:00,65,0.18,0.34,6,0.12,0.94,0.09,0.00,1.49
TK696,B739,2025-11-24T02:40:00+00:00,60,0.23,0.45,6,0.34,0.72,0.66,0.09,1.21
TK696,B739,2025-11-24T02:40:00+00:00,61,0.48,0.56,8,0.42,0.88,0.64,0.43,1.44
TK696,B739,2025-11-24T02:40:00+00:00,80,0.14,0.21,8,0.09,0.65,0.94,0.00,1.02
TK696,B739,2025-11-24T02:40:00+00:00,59,0.51,0.66,7,0.20,0.71,0.87,0.24,1.29
TK696,B739,2025-11-24T02:40:00+00:00,50,0.44,0.86,6,0.25,0.87,0.88,0.46,1.28
TK696,B739,2025-11-24T02:40:00+00:00,69,0.20,0.40,7,0.28,0.44,0.81,0.00,1.06
TK696,B739,2025-11-24T02:40:00+00:00,78,0.00,0.46,9,0.27,0.47,0.24,0.00,1.16
TK696,B739,2025-11-24T02:40:00+00:00,31,0.89,0.80,0,0.08,0.12,0.06,0.41,1.76
TK696,B739,2025-11-24T02:40:00+00:00,67,0.03,0.54,7,0.29,0.62,0.95,0.00,0.94
TK696,B739,2025-11-24T02:40:00+00:00,72,0.03,0.29,6,0.13,0.08,0.31,0.00,1.05
TK696,B739,2025-11-24T02:40:00+00:00,51,0.56,0.67,6,0.22,0.89,0.43,0.38,1.61
TK696,B739,2025-11-24T02:40:00+00:00,41,0.80,0.82,5,0.34,0.18,0.75,0.46,1.36
TK696,B739,2025-11-24T02:40:00+00:00,52,0.42,0.47,4,0.25,0.37,0.94,0.15,1.11
TK696,B739,2025-11-24T02:40:00+00:00,40,0.78,0.92,3,0.33,0.98,0.88,0.46,1.52
TK696,B739,2025-11-24T02:40:00+00:00,64,0.08,0.40,7,0.12,0.49,0.23,0.03,1.23
TK696,B739,2025-11-24T02:40:00+00:00,78,0.19,0.28,10,0.25,0.16,0.67,0.00,1.04
TK696,B739,2025-11-24T02:40:00+00:00,66,0.09,0.61,7,0.14,0.10,0.04,0.11,1.19
TK696,B739,2025-11-24T02:40:00+00:00,57,0.28,0.55,4,0.16,0.66,0.33,0.19,1.38
TK696,B739,2025-11-24T02:40:00+00:00,77,0.10,0.44,9,0.38,0.66,0.27,0.00,1.28
TK696,B739,2025-11-24T02:40:00+00:00,47,0.36,0.72,6,0.48,0.67,0.61,0.43,1.31
TK696,B739,2025-11-24T02:40:00+00:00,46,0.47,0.77,3,0.21,0.62,0.25,0.42,1.54
TK696,B739,2025-11-24T02:40:00+00:00,69,0.08,0.59,10,0.40,0.37,0.72,0.27,1.01
TK696,B739,2025-11-24T02:40:00+00:00,26,0.93,0.85,2,0.38,0.72,0.86,0.42,1.56
TK696,B739,2025-11-24T02:40:00+00:00,62,0.34,0.60,5,0.24,0.25,0.43,0.13,1.26
TK696,B739,2025-11-24T02:40:00+00:00,65,0.06,0.41,8,0.32,0.16,0.81,0.22,0.91
TK696,B739,2025-11-24T02:40:00+00:00,51,0.64,0.80,6,0.38,0.48,0.68,0.44,1.40
TK696,B739,2025-11-24T02:40:00+00:00,73,0.29,0.49,9,0.38,0.39,0.53,0.06,1.22
TK696,B739,2025-11-24T02:40:00+00:00,59,0.39,0.58,4,0.05,0.12,0.85,0.12,1.07
TK696,B739,2025-11-24T02:40:00+00:00,55,0.40,0.42,3,0.22,0.50,0.91,0.06,1.15
TK696,B739,2025-11-24T02:40:00+00:00,58,0.21,0.53,5,0.30,0.68,0.54,0.16,1.24
TK696,B739,2025-11-24T02:40:00+00:00,65,0.24,0.46,6,0.10,0.09,0.09,0.03,1.28
TK696,B739,2025-11-24T02:40:00+00:00,32,0.69,0.84,1,0.33,0.97,0.77,0.39,1.53
TK696,B739,2025-11-24T02:40:00+00:00,58,0.35,0.49,6,0.38,0.72,0.24,0.19,1.50
TK696,B739,2025-11-24T02:40:00+00:00,37,0.65,0.88,2,0.17,0.68,0.16,0.49,1.76
TK696,B739,2025-11-24T02:40:00+00:00,65,0.40,0.61,7,0.29,0.45,0.80,0.07,1.18
TK696,B739,2025-11-24T02:40:00+00:00,72,0.09,0.54,9,0.40,0.78,0.49,0.13,1.21
TK696,B739,2025-11-24T02:40:00+00:00,55,0.21,0.64,5,0.09,0.64,0.95,0.24,1.05
TK696,B739,2025-11-24T02:40:00+00:00,39,0.82,0.78,2,0.24,0.51,0.73,0.37,1.49
TK696,B739,2025-11-24T02:40:00+00:00,67,0.26,0.58,6,0.09,0.67,0.81,0.00,1.15
TK696,B739,2025-11-24T02:40:00+00:00,34,0.86,0.78,0,0.09,0.74,0.44,0.35,1.77
TK696,B739,2025-11-24T02:40:00+00:00,38,0.83,0.75,4,0.34,0.45,0.85,0.39,1.41
TK696,B739,2025-11-24T02:40:00+00:00,78,0.00,0.36,10,0.25,0.19,0.51,0.00,0.99
TK696,B739,2025-11-24T02:40:00+00:00,78,0.00,0.40,10,0.46,0.37,0.62,0.00,1.00
TK696,B739,2025-11-24T02:40:00+00:00,27,0.93,0.96,3,0.21,0.18,0.69,0.53,1.47
TK696,B739,2025-11-24T02:40:00+00:00,50,0.35,0.54,3,0.15,0.90,0.40,0.24,1.47
TK696,B739,2025-11-24T02:40:00+00:00,32,0.93,0.87,3,0.14,0.69,0.25,0.51,1.92
TK696,B739,2025-11-24T02:40:00+00:00,57,0.40,0.74,7,0.20,0.20,0.74,0.34,1.14
TK696,B739,2025-11-24T02:40:00+00:00,24,1.00,1.00,1,0.16,0.43,0.85,0.49,1.50
TK696,B739,2025-11-24T02:40:00+00:00,76,0.00,0.25,8,0.24,0.63,0.24,0.00,1.20
TK696,B739,2025-11-24T02:40:00+00:00,56,0.30,0.54,7,0.24,0.02,0.37,0.27,1.19
TK696,B739,2025-11-24T02:40:00+00:00,32,0.70,0.80,4,0.37,0.82,0.40,0.48,1.71
TK696,B739,2025-11-24T02:40:00+00:00,59,0.44,0.61,5,0.27,0.93,0.26,0.22,1.63
TK696,B739,2025-11-24T02:40:00+00:00,73,0.26,0.46,7,0.29,0.26,0.59,0.00,1.14
TK696,B739,2025-11-24T02:40:00+00:00,32,0.73,0.88,1,0.29,0.37,0.90,0.40,1.30
TK696,B739,2025-11-24T02:40:00+00:00,33,0.78,0.79,4,0.30,0.15,0.38,0.47,1.53
TK696,B739,2025-11-24T02:40:00+00:00,18,0.86,0.92,0,0.30,0.72,0.45,0.47,1.76
TK696,B739,2025-11-24T02:40:00+00:00,52,0.64,0.73,6,0.37,0.62,0.70,0.38,1.43
TK696,B739,2025-11-24T02:40:00+00:00,57,0.26,0.61,5,0.22,0.85,0.79,0.21,1.21
TK696,B739,2025-11-24T02:40:00+00:00,31,0.79,0.74,0,0.09,0.51,0.32,0.35,1.70
TK696,B739,2025-11-24T02:40:00+00:00,57,0.17,0.60,4,0.11,0.12,0.07,0.24,1.25
TK696,B739,2025-11-24T02:40:00+00:00,76,0.00,0.40,10,0.32,0.89,0.07,0.00,1.34
TK696,B739,2025-11-24T02:40:00+00:00,61,0.21,0.56,6,0.25,0.26,0.44,0.15,1.17
TK696,B739,2025-11-24T02:40:00+00:00,74,0.21,0.27,8,0.34,0.05,0.98,0.00,0.91
TK696,B739,2025-11-24T02:40:00+00:00,69,0.08,0.50,10,0.39,0.49,0.43,0.24,1.15
TK696,B739,2025-11-24T02:40:00+00:00,40,0.60,0.61,2,0.31,0.47,0.24,0.31,1.60
TK696,B739,2025-11-24T02:40:00+00:00,65,0.16,0.47,5,0.22,0.81,0.91,0.00,1.07
TK696,B739,2025-11-24T02:40:00+00:00,38,0.82,0.83,0,0.04,0.10,0.21,0.40,1.63
TK696,B739,2025-11-24T02:40:00+00:00,30,0.98,1.00,1,0.26,0.52,0.02,0.56,2.03
TK696,B739,2025-11-24T02:40:00+00:00,63,0.15,0.48,7,0.35,0.23,0.28,0.10,1.19
TK696,B739,2025-11-24T02:40:00+00:00,36,0.69,0.82,0,0.10,0.92,0.58,0.36,1.63
TK696,B739,2025-11-24T02:40:00+00:00,35,0.63,0.74,3,0.26,0.96,0.36,0.42,1.73
TK696,B739,2025-11-24T02:40:00+00:00,76,0.00,0.26,7,0.19,0.29,0.08,0.00,1.17
TK696,B739,2025-11-24T02:40:00+00:00,33,0.88,1.00,4,0.42,0.05,0.24,0.61,1.64
TK696,B739,2025-11-24T02:40:00+00:00,78,0.04,0.35,10,0.22,0.60,0.19,0.00,1.24
TK696,B739,2025-11-24T02:40:00+00:00,47,0.53,0.73,4,0.24,0.50,0.49,0.39,1.43
TK696,B739,2025-11-24T02:40:00+00:00,71,0.27,0.45,8,0.32,0.68,0.21,0.11,1.43
TK696,B739,2025-11-24T02:40:00+00:00,60,0.50,0.55,5,0.26,0.44,0.69,0.12,1.29
TK696,B739,2025-11-24T02:40:00+00:00,38,0.86,0.80,4,0.33,0.13,0.35,0.47,1.59
TK696,B739,2025-11-24T02:40:00+00:00,37,0.83,0.86,3,0.19,0.27,0.91,0.43,1.32
TK696,B739,2025-11-24T02:40:00+00:00,80,0.10,0.37,10,0.24,0.50,0.54,0.00,1.12
SM458,A320,2025-11-24T09:32:00+00:00,70,0.19,0.50,10,0.29,0.64,0.24,0.23,1.35
SM458,A320,2025-11-24T09:32:00+00:00,36,0.63,0.86,4,0.32,0.22,0.87,0.46,1.22
SM458,A320,2025-11-24T09:32:00+00:00,66,0.12,0.40,7,0.35,0.93,0.51,0.00,1.26
SM458,A320,2025-11-24T09:32:00+00:00,78,0.22,0.25,10,0.26,0.94,0.90,0.00,1.15
SM458,A320,2025-11-24T09:32:00+00:00,76,0.00,0.37,9,0.25,0.20,0.80,0.00,0.89
SM458,A320,2025-11-24T09:32:00+00:00,59,0.21,0.66,7,0.20,0.91,0.45,0.28,1.35
SM458,A320,2025-11-24T09:32:00+00:00,37,0.89,0.95,3,0.33,0.38,0.25,0.55,1.77
SM458,A320,2025-11-24T09:32:00+00:00,55,0.46,0.49,5,0.21,0.97,0.83,0.16,1.35
SM458,A320,2025-11-24T09:32:00+00:00,43,0.57,0.57,2,0.20,0.56,0.46,0.26,1.49
SM458,A320,2025-11-24T09:32:00+00:00,69,0.25,0.55,10,0.31,0.44,0.37,0.28,1.28
SM458,A320,2025-11-24T09:32:00+00:00,28,0.91,1.00,3,0.24,0.10,0.65,0.55,1.45
SM458,A320,2025-11-24T09:32:00+00:00,46,0.67,0.88,5,0.27,0.31,0.47,0.52,1.47
SM458,A320,2025-11-24T09:32:00+00:00,69,0.00,0.55,10,0.46,0.82,0.89,0.22,0.99
SM458,A320,2025-11-24T09:32:00+00:00,28,0.84,0.87,2,0.41,0.52,0.79,0.44,1.47
SM458,A320,2025-11-24T09:32:00+00:00,39,0.79,0.95,4,0.26,0.60,0.89,0.50,1.41
SM458,A320,2025-11-24T09:32:00+00:00,24,0.75,1.00,3,0.27,0.16,0.97,0.53,1.21
SM458,A320,2025-11-24T09:32:00+00:00,20,1.00,0.89,0,0.17,0.86,0.25,0.47,2.05
SM458,A320,2025-11-24T09:32:00+00:00,71,0.05,0.49,10,0.29,0.72,0.00,0.21,1.36
SM458,A320,2025-11-24T09:32:00+00:00,79,0.07,0.13,7,0.17,0.40,0.47,0.00,1.10
SM458,A320,2025-11-24T09:32:00+00:00,73,0.22,0.25,7,0.34,0.28,0.80,0.00,1.03
SM458,A320,2025-11-24T09:32:00+00:00,79,0.19,0.20,9,0.18,0.61,0.20,0.00,1.36
SM458,A320,2025-11-24T09:32:00+00:00,32,0.61,0.83,0,0.22,0.52,0.24,0.41,1.62
SM458,A320,2025-11-24T09:32:00+00:00,68,0.09,0.59,8,0.33,0.18,0.54,0.27,1.04
SM458,A320,2025-11-24T09:32:00+00:00,19,0.91,1.00,0,0.18,0.88,0.06,0.56,2.10
SM458,A320,2025-11-24T09:32:00+00:00,49,0.56,0.50,2,0.09,0.14,0.45,0.20,1.35
SM458,A320,2025-11-24T09:32:00+00:00,49,0.45,0.58,2,0.21,0.55,0.41,0.25,1.43
SM458,A320,2025-11-24T09:32:00+00:00,36,0.88,0.75,2,0.30,0.44,0.73,0.36,1.50
SM458,A320,2025-11-24T09:32:00+00:00,36,0.54,1.00,4,0.23,0.59,0.63,0.56,1.39
SM458,A320,2025-11-24T09:32:00+00:00,52,0.64,0.65,3,0.30,0.91,0.61,0.27,1.57
SM458,A320,2025-11-24T09:32:00+00:00,51,0.52,0.52,2,0.22,0.43,0.17,0.22,1.56
SM458,A320,2025-11-24T09:32:00+00:00,80,0.13,0.24,10,0.36,1.00,0.94,0.00,1.08
SM458,A320,2025-11-24T09:32:00+00:00,19,1.00,1.00,0,0.33,0.04,0.56,0.51,1.53
SM458,A320,2025-11-24T09:32:00+00:00,41,0.70,0.72,5,0.25,0.36,0.90,0.39,1.28
SM458,A320,2025-11-24T09:32:00+00:00,57,0.54,0.71,8,0.38,0.10,0.62,0.60,1.25
SM458,A320,2025-11-24T09:32:00+00:00,75,0.17,0.27,9,0.30,0.77,0.57,0.00,1.22
SM458,A320,2025-11-24T09:32:00+00:00,32,0.86,1.00,4,0.32,0.37,0.87,0.55,1.39
SM458,A320,2025-11-24T09:32:00+00:00,44,0.71,0.67,4,0.39,0.68,0.85,0.33,1.41
SM458,A320,2025-11-24T09:32:00+00:00,24,0.84,0.89,0,0.10,0.92,0.65,0.42,1.69
SM458,A320,2025-11-24T09:32:00+00:00,60,0.28,0.51,8,0.43,0.65,0.84,0.41,1.14
SM458,A320,2025-11-24T09:32:00+00:00,74,0.16,0.37,9,0.22,0.66,0.89,0.00,1.05
SM458,A320,2025-11-24T09:32:00+00:00,47,0.37,0.75,5,0.38,0.47,0.33,0.44,1.39
SM458,A320,2025-11-24T09:32:00+00:00,80,0.00,0.31,10,0.25,0.69,0.74,0.00,1.02
SM458,A320,2025-11-24T09:32:00+00:00,77,0.11,0.37,9,0.33,0.63,0.35,0.00,1.24
SM458,A320,2025-11-24T09:32:00+00:00,56,0.22,0.75,7,0.25,0.00,0.18,0.42,1.21
SM458,A320,2025-11-24T09:32:00+00:00,58,0.37,0.43,5,0.17,0.74,0.22,0.13,1.53
SM458,A320,2025-11-24T09:32:00+00:00,29,0.95,0.88,0,0.09,0.67,0.67,0.40,1.67
SM458,A320,2025-11-24T09:32:00+00:00,44,0.57,0.81,2,0.15,0.97,0.03,0.44,1.87
SM458,A320,2025-11-24T09:32:00+00:00,72,0.15,0.43,10,0.32,0.28,0.60,0.08,1.08
SM458,A320,2025-11-24T09:32:00+00:00,64,0.36,0.41,8,0.29,0.03,0.95,0.24,0.99
SM458,A320,2025-11-24T09:32:00+00:00,32,0.88,0.90,4,0.48,0.31,0.35,0.54,1.67
SM458,A320,2025-11-24T09:32:00+00:00,21,0.86,1.00,0,0.17,0.16,0.79,0.48,1.37
SM458,A320,2025-11-24T09:32:00+00:00,18,1.00,1.00,1,0.22,0.81,0.04,0.59,2.17
SM458,A320,2025-11-24T09:32:00+00:00,47,0.46,0.58,2,0.03,0.03,0.82,0.22,1.10
SM458,A320,2025-11-24T09:32:00+00:00,60,0.24,0.68,6,0.29,0.27,0.62,0.23,1.12
SM458,A320,2025-11-24T09:32:00+00:00,22,1.00,0.94,1,0.27,0.79,0.53,0.49,1.83
SM458,A320,2025-11-24T09:32:00+00:00,43,0.69,0.72,2,0.14,0.33,0.59,0.34,1.43
SM458,A320,2025-11-24T09:32:00+00:00,26,0.97,0.82,1,0.14,0.97,0.14,0.45,2.14
SM458,A320,2025-11-24T09:32:00+00:00,33,0.94,0.99,2,0.36,0.58,0.81,0.50,1.54
SM458,A320,2025-11-24T09:32:00+00:00,35,0.82,0.91,1,0.29,0.01,0.44,0.45,1.47
SM458,A320,2025-11-24T09:32:00+00:00,58,0.35,0.48,6,0.26,0.20,0.11,0.20,1.39
SM458,A320,2025-11-24T09:32:00+00:00,48,0.70,0.57,4,0.26,0.51,0.23,0.32,1.69
SM458,A320,2025-11-24T09:32:00+00:00,22,1.00,0.87,0,0.31,0.59,0.14,0.46,2.00
SM458,A320,2025-11-24T09:32:00+00:00,78,0.06,0.51,10,0.41,0.44,0.09,0.00,1.26
SM458,A320,2025-11-24T09:32:00+00:00,36,0.77,0.90,0,0.15,0.41,0.04,0.46,1.81
SM458,A320,2025-11-24T09:32:00+00:00,39,0.78,0.95,5,0.32,0.96,0.41,0.58,1.81
SM458,A320,2025-11-24T09:32:00+00:00,71,0.29,0.44,6,0.30,0.14,0.26,0.00,1.26
SM458,A320,2025-11-24T09:32:00+00:00,75,0.01,0.50,10,0.35,0.00,0.37,0.03,1.00
SM458,A320,2025-11-24T09:32:00+00:00,40,0.84,0.62,1,0.03,0.70,0.19,0.30,1.89
SM458,A320,2025-11-24T09:32:00+00:00,37,0.59,0.78,3,0.18,0.69,0.64,0.40,1.45
SM458,A320,2025-11-24T09:32:00+00:00,67,0.41,0.42,6,0.34,0.95,0.54,0.00,1.46
SM458,A320,2025-11-24T09:32:00+00:00,49,0.58,0.71,5,0.31,0.88,0.38,0.41,1.65
SM458,A320,2025-11-24T09:32:00+00:00,42,0.74,0.82,1,0.18,0.19,0.18,0.41,1.62
SM458,A320,2025-11-24T09:32:00+00:00,64,0.09,0.56,8,0.32,0.50,0.80,0.34,1.01
SM458,A320,2025-11-24T09:32:00+00:00,44,0.53,0.57,2,0.29,0.37,0.03,0.30,1.61
SM458,A320,2025-11-24T09:32:00+00:00,78,0.12,0.33,10,0.40,0.84,0.00,0.00,1.46
SM458,A320,2025-11-24T09:32:00+00:00,59,0.34,0.49,7,0.30,0.07,0.53,0.17,1.16
SM458,A320,2025-11-24T09:32:00+00:00,55,0.44,0.70,7,0.26,0.48,0.51,0.37,1.35
SM458,A320,2025-11-24T09:32:00+00:00,25,0.82,0.83,0,0.25,0.79,0.16,0.43,1.93
SM458,A320,2025-11-24T09:32:00+00:00,32,0.86,0.82,4,0.43,0.32,0.31,0.50,1.69
SM458,A320,2025-11-24T09:32:00+00:00,66,0.42,0.39,5,0.28,0.35,0.35,0.00,1.37
SM458,A320,2025-11-24T09:32:00+00:00,74,0.17,0.56,10,0.46,0.33,0.48,0.09,1.15
SM458,A320,2025-11-24T09:32:00+00:00,21,0.98,1.00,1,0.32,0.78,0.45,0.54,1.87
SM458,A320,2025-11-24T09:32:00+00:00,18,1.00,1.00,1,0.21,0.43,0.70,0.52,1.59
SM458,A320,2025-11-24T09:32:00+00:00,72,0.27,0.41,10,0.29,0.02,0.34,0.09,1.18
SM458,A320,2025-11-24T09:32:00+00:00,38,0.80,0.96,5,0.21,0.77,0.02,0.63,1.99
SM458,A320,2025-11-24T09:32:00+00:00,68,0.33,0.56,10,0.37,0.98,0.08,0.34,1.64
SM458,A320,2025-11-24T09:32:00+00:00,34,0.94,0.80,1,0.05,0.02,0.70,0.37,1.41
SM458,A320,2025-11-24T09:32:00+00:00,41,0.66,0.75,2,0.27,0.28,0.71,0.35,1.33
SM458,A320,2025-11-24T09:32:00+00:00,29,0.89,0.79,2,0.24,0.43,0.02,0.46,1.92
SM458,A320,2025-11-24T09:32:00+00:00,47,0.39,0.75,2,0.06,0.76,0.94,0.31,1.19
SM458,A320,2025-11-24T09:32:00+00:00,74,0.16,0.27,6,0.22,0.94,0.15,0.00,1.46
SM458,A320,2025-11-24T09:32:00+00:00,26,0.68,1.00,2,0.34,0.87,0.20,0.58,1.82
SM458,A320,2025-11-24T09:32:00+00:00,56,0.42,0.66,5,0.23,0.79,0.91,0.24,1.23
SM458,A320,2025-11-24T09:32:00+00:00,23,0.79,1.00,2,0.30,0.54,0.73,0.53,1.48
SM458,A320,2025-11-24T09:32:00+00:00,41,0.77,0.94,4,0.15,0.24,0.92,0.49,1.27
SM458,A320,2025-11-24T09:32:00+00:00,68,0.29,0.42,9,0.45,0.34,0.09,0.24,1.40
SM458,A320,2025-11-24T09:32:00+00:00,55,0.54,0.67,4,0.26,0.19,0.09,0.32,1.53
SM458,A320,2025-11-24T09:32:00+00:00,69,0.32,0.56,8,0.20,0.63,0.35,0.24,1.39
SM458,A320,2025-11-24T09:32:00+00:00,57,0.48,0.53,5,0.29,0.31,0.89,0.15,1.15
SM458,A320,2025-11-24T09:32:00+00:00,18,0.84,0.93,1,0.33,0.51,0.13,0.54,1.85
SM458,A320,2025-11-24T09:32:00+00:00,73,0.18,0.47,10,0.30,0.47,0.37,0.09,1.24
SM458,A320,2025-11-24T09:32:00+00:00,20,0.78,0.95,2,0.39,0.67,0.07,0.58,1.91
SM458,A320,2025-11-24T09:32:00+00:00,28,1.00,1.00,0,0.26,0.91,0.17,0.53,2.12
SM458,A320,2025-11-24T09:32:00+00:00,44,0.61,0.87,6,0.21,0.89,0.46,0.54,1.63
SM458,A320,2025-11-24T09:32:00+00:00,34,0.66,0.91,1,0.29,0.86,0.34,0.47,1.72
SM458,A320,2025-11-24T09:32:00+00:00,24,0.74,1.00,2,0.27,0.07,0.45,0.56,1.44
SM458,A320,2025-11-24T09:32:00+00:00,75,0.26,0.49,7,0.19,0.35,0.51,0.00,1.20
SM458,A320,2025-11-24T09:32:00+00:00,35,0.63,0.82,0,0.05,0.74,0.66,0.36,1.48
SM458,A320,2025-11-24T09:32:00+00:00,24,0.78,1.00,0,0.11,0.58,0.23,0.53,1.78
SM458,A320,2025-11-24T09:32:00+00:00,78,0.04,0.47,9,0.16,0.37,0.82,0.00,0.94
SM458,A320,2025-11-24T09:32:00+00:00,54,0.33,0.60,7,0.23,0.62,0.01,0.37,1.55
SM458,A320,2025-11-24T09:32:00+00:00,30,0.76,0.95,3,0.39,0.02,0.83,0.50,1.25
SM458,A320,2025-11-24T09:32:00+00:00,70,0.35,0.38,9,0.45,0.94,0.40,0.11,1.48
SM458,A320,2025-11-24T09:32:00+00:00,77,0.00,0.49,10,0.28,0.24,0.59,0.00,0.98
SM458,A320,2025-11-24T09:32:00+00:00,35,0.66,0.75,2,0.10,0.45,0.76,0.35,1.36
SM458,A320,2025-11-24T09:32:00+00:00,20,0.89,1.00,0,0.20,0.72,0.09,0.55,2.00
SM458,A320,2025-11-24T09:32:00+00:00,36,0.84,0.86,2,0.13,0.50,0.49,0.45,1.64
SM458,A320,2025-11-24T09:32:00+00:00,43,0.77,0.77,4,0.23,0.05,0.24,0.45,1.56
SM458,A320,2025-11-24T09:32:00+00:00,50,0.49,0.86,6,0.28,0.50,0.15,0.54,1.57
SM458,A320,2025-11-24T09:32:00+00:00,45,0.73,0.76,6,0.35,0.04,0.78,0.44,1.26
SM458,A320,2025-11-24T09:32:00+00:00,45,0.65,0.80,3,0.06,0.30,0.48,0.42,1.45
SM458,A320,2025-11-24T09:32:00+00:00,66,0.21,0.35,7,0.23,0.84,0.00,0.00,1.54
SM458,A320,2025-11-24T09:32:00+00:00,74,0.00,0.52,9,0.43,0.43,0.39,0.05,1.10
SM458,A320,2025-11-24T09:32:00+00:00,35,0.86,0.79,4,0.26,0.77,0.99,0.41,1.44
SM458,A320,2025-11-24T09:32:00+00:00,21,0.93,1.00,1,0.37,0.43,0.46,0.54,1.69
SM458,A320,2025-11-24T09:32:00+00:00,25,0.99,0.84,0,0.05,0.20,0.71,0.38,1.50
SM458,A320,2025-11-24T09:32:00+00:00,24,1.00,0.97,2,0.29,0.33,0.35,0.55,1.76
SM458,A320,2025-11-24T09:32:00+00:00,40,0.59,0.76,2,0.24,0.51,0.56,0.37,1.44
SM458,A320,2025-11-24T09:32:00+00:00,22,0.79,1.00,0,0.15,0.68,0.47,0.51,1.68
SM458,A320,2025-11-24T09:32:00+00:00,68,0.05,0.45,9,0.39,0.17,0.21,0.24,1.13
SM458,A320,2025-11-24T09:32:00+00:00,70,0.09,0.31,7,0.10,0.57,0.36,0.00,1.21
SM458,A320,2025-11-24T09:32:00+00:00,32,0.87,0.94,2,0.28,0.40,0.62,0.48,1.54
SM458,A320,2025-11-24T09:32:00+00:00,80,0.00,0.37,8,0.21,0.49,0.08,0.00,1.23
SM458,A320,2025-11-24T09:32:00+00:00,48,0.35,0.67,3,0.30,0.47,0.28,0.35,1.40
SM458,A320,2025-11-24T09:32:00+00:00,20,1.00,1.00,2,0.38,0.59,0.45,0.56,1.81
SM458,A320,2025-11-24T09:32:00+00:00,20,0.82,0.94,0,0.32,0.54,1.00,0.42,1.35
G9324,A320,2025-11-24T08:28:00+00:00,57,0.51,0.63,7,0.34,0.00,0.12,0.33,1.42
G9324,A320,2025-11-24T08:28:00+00:00,35,0.83,1.00,4,0.26,0.32,0.80,0.55,1.39
G9324,A320,2025-11-24T08:28:00+00:00,73,0.00,0.53,9,0.26,0.37,0.52,0.08,1.03
G9324,A320,2025-11-24T08:28:00+00:00,64,0.27,0.38,6,0.17,0.04,0.08,0.00,1.29
G9324,A320,2025-11-24T08:28:00+00:00,79,0.11,0.31,8,0.15,0.24,0.47,0.00,1.09
G9324,A320,2025-11-24T08:28:00+00:00,28,0.70,0.88,2,0.31,0.60,0.12,0.51,1.78
G9324,A320,2025-11-24T08:28:00+00:00,49,0.52,0.64,6,0.38,0.37,0.25,0.40,1.50
G9324,A320,2025-11-24T08:28:00+00:00,19,0.81,1.00,0,0.26,0.60,0.14,0.55,1.86
G9324,A320,2025-11-24T08:28:00+00:00,60,0.38,0.54,6,0.21,0.17,0.75,0.13,1.11
G9324,A320,2025-11-24T08:28:00+00:00,60,0.43,0.52,5,0.25,0.47,0.19,0.15,1.50
G9324,A320,2025-11-24T08:28:00+00:00,20,0.97,0.95,0,0.08,0.93,0.39,0.49,1.96
G9324,A320,2025-11-24T08:28:00+00:00,70,0.08,0.33,7,0.31,0.34,0.13,0.00,1.23
G9324,A320,2025-11-24T08:28:00+00:00,18,1.00,1.00,0,0.36,0.83,0.41,0.52,1.92
G9324,A320,2025-11-24T08:28:00+00:00,18,0.83,0.92,0,0.13,0.82,0.31,0.49,1.86
G9324,A320,2025-11-24T08:28:00+00:00,71,0.29,0.38,9,0.45,0.04,0.04,0.12,1.32
G9324,A320,2025-11-24T08:28:00+00:00,50,0.62,0.78,4,0.29,0.85,0.89,0.36,1.38
G9324,A320,2025-11-24T08:28:00+00:00,52,0.56,0.61,5,0.14,0.94,0.37,0.32,1.66
G9324,A320,2025-11-24T08:28:00+00:00,44,0.69,0.86,4,0.34,0.52,0.43,0.49,1.57
G9324,A320,2025-11-24T08:28:00+00:00,75,0.02,0.44,7,0.33,0.48,0.33,0.00,1.14
G9324,A320,2025-11-24T08:28:00+00:00,31,0.84,0.73,0,0.11,0.92,0.45,0.33,1.82
G9324,A320,2025-11-24T08:28:00+00:00,22,1.00,0.88,0,0.32,0.58,0.84,0.40,1.56
G9324,A320,2025-11-24T08:28:00+00:00,62,0.12,0.47,5,0.22,0.01,0.06,0.09,1.18
G9324,A320,2025-11-24T08:28:00+00:00,51,0.61,0.59,7,0.41,0.53,0.46,0.36,1.51
G9324,A320,2025-11-24T08:28:00+00:00,61,0.15,0.72,9,0.43,0.19,0.07,0.61,1.26
G9324,A320,2025-11-24T08:28:00+00:00,73,0.17,0.55,8,0.35,0.29,0.13,0.11,1.28
G9324,A320,2025-11-24T08:28:00+00:00,48,0.55,0.60,4,0.21,0.41,0.01,0.36,1.65
G9324,A320,2025-11-24T08:28:00+00:00,27,0.66,0.77,0,0.29,0.88,0.74,0.34,1.50
G9324,A320,2025-11-24T08:28:00+00:00,57,0.54,0.78,7,0.44,0.15,0.77,0.36,1.20
G9324,A320,2025-11-24T08:28:00+00:00,56,0.37,0.56,7,0.37,0.87,0.52,0.27,1.41
